Espécie;Apreendidas;Data apreensão;Mês;Ano;UF Apreensão;Unidade Apreensão;Município;País de origem;Tipo Penal
Arma não classificada;1;41348;mar;2013;BA;DPF/ILS/BA;PAU BRASIL;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41348;mar;2013;PA;DPF/MBA/PA;ITUPIRANGA;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41348;mar;2013;SP;DPF/SOD/SP;SOROCABA;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Revólver;1;41348;mar;2013;BA;DPF/ILS/BA;PAU BRASIL;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Arma não classificada;2;41352;mar;2013;PR;DPF/GRA/PR;GUAIRA;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Revólver;1;41352;mar;2013;MS;SR/PF/MS;CAMPO GRANDE;Brasil;Art. 12 Posse irregular de arma de fogo de uso permitido
Espingarda;1;41353;mar;2013;RS;DPF/CHI/RS;SANTA VITORIA DO PALMAR;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Garrucha;1;41353;mar;2013;PR;DPF/GRA/PR;TERRA ROXA;Não identificado;Art. 12 Posse irregular de arma de fogo de uso permitido
Pistola;1;41353;mar;2013;SP;DPF/SOD/SP;NI;Estados Unidos da América;Outra tipificação
Revólver;1;41353;mar;2013;DF;SR/PF/DF;BRASILIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41353;mar;2013;PE;DPF/CRU/PE;BELO JARDIM;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Garrucha;1;41354;mar;2013;PR;DPF/PNG/PR;PARANAGUA;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Artesanal;3;41355;mar;2013;MS;DPF/TLS/MS;COSTA RICA;Não identificado;Art. 14 Porte ilegal de arma de fogo de uso permitido
Artesanal;3;41355;mar;2013;MS;DPF/TLS/MS;COSTA RICA;Não identificado;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
Espingarda;1;41355;mar;2013;RS;DPF/CHI/RS;NI;Não identificado;Outra tipificação
Revólver;1;41355;mar;2013;DF;SR/PF/DF;BRASILIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41355;mar;2013;DF;SR/PF/DF;BRASILIA;Brasil;Art. 14 Porte ilegal de arma de fogo de uso permitido
Revólver;1;41358;mar;2013;SP;DPF/SOD/SP;SALTO;Brasil;Art. 16 Posse ou porte ilegal de arma de fogo de uso restrito
